                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00724,                 4.2657,                0.02464,                 2.1791,                 2.3878,                      1,                0.38915,                0.54399,                0.43298,                      1,                0.38915,                0.48388,                0.32311,                0.00892,                 4.9097,                0.03403,                  2.697,                 3.0041,                  8e-05,                  8e-05,                  8e-05
                      2,                0.00858,                 4.7778,                0.02764,                 2.4819,                 2.8114,                0.99172,                    0.9,                 0.9463,                0.68626,                0.99172,                    0.9,                0.90553,                0.55545,                0.00829,                 1.9584,                0.00631,                 1.2982,                  3.875,             0.00017911,             0.00017911,             0.00017911
                      3,                0.00715,                  2.271,                0.00985,                   1.24,                 2.3066,                0.94421,                0.84637,                0.90451,                0.68354,                0.94421,                0.84637,                0.90451,                0.61788,                0.00786,                 1.3991,                0.00608,                 1.3102,                 3.4718,             0.00027723,             0.00027723,             0.00027723
                      4,                0.00629,                 1.2749,                0.00359,                 0.8047,                 1.9215,                 0.8846,                   0.95,                0.94386,                0.69839,                 0.8846,                   0.95,                0.94386,                 0.6322,                0.00868,                 1.4234,                 0.0036,                 2.0311,                 3.4383,             0.00037436,             0.00037436,             0.00037436
                      5,                0.00713,                 1.6846,                0.00405,                0.92422,                 1.9891,                0.94995,                   0.95,                0.95536,                0.70044,                0.94995,                   0.95,                0.95536,                0.53059,                0.00842,                 2.0633,                0.00554,                 1.2037,                 2.9335,              0.0004705,              0.0004705,              0.0004705
                      6,                 0.0071,                 1.4941,                0.00294,                0.80364,                  1.919,                0.94562,                      1,                0.99262,                0.76585,                0.94562,                      1,                0.99262,                 0.7122,                0.00721,                 1.3224,                0.00275,                 1.0082,                 2.4768,             0.00056565,             0.00056565,             0.00056565
                      7,                0.00647,                 1.3316,                0.00218,                0.89383,                 1.8702,                0.92892,                    0.8,                0.88341,                0.59149,                0.93674,                 0.7409,                0.83546,                0.48373,                0.00941,                 2.4233,                0.00284,                 1.4611,                 3.1526,              0.0006598,              0.0006598,              0.0006598
                      8,                0.00639,                 1.2153,                0.00185,                  0.877,                 1.9193,                0.99048,                   0.75,                0.84765,                0.56846,                0.99048,                   0.75,                0.76667,                0.40898,                0.00945,                 2.9564,                0.00214,                 1.9516,                 3.1265,             0.00075297,             0.00075297,             0.00075297
                      9,                0.00622,                0.96867,                 0.0011,                0.82558,                 1.9694,                0.99732,                   0.95,                0.95231,                 0.5614,                0.99018,                    0.9,                0.90769,                0.37284,                0.01164,                 3.0377,                0.00056,                 2.6011,                 4.8607,             0.00084515,             0.00084515,             0.00084515
                     10,                0.00543,                 1.2039,                0.00074,                0.80539,                 1.8412,                0.14427,                   0.25,                0.05817,                0.01969,                0.11575,                   0.15,                 0.0327,                0.01635,                0.01768,                 6.1072,                0.00291,                   5.08,                 7.2206,             0.00093634,             0.00093634,             0.00093634
                     11,                0.00501,                 1.3652,                0.00097,                0.81945,                  1.733,                0.14427,                   0.25,                0.05817,                0.01969,                0.11575,                   0.15,                 0.0327,                0.01635,                0.03435,                 11.337,                0.02787,                 7.5358,                 9.6355,              0.0010265,              0.0010265,              0.0010265
                     12,                0.00451,                 1.4207,                0.00141,                0.70407,                  1.647,                0.14427,                   0.25,                0.05817,                0.01969,                0.11575,                   0.15,                 0.0327,                0.01635,                0.04339,                 11.232,                0.00637,                 5.4976,                 17.503,              0.0011157,              0.0011157,              0.0011157
                     13,                0.00521,                0.94701,                0.00161,                0.75838,                 1.7199,                0.14427,                   0.25,                0.05817,                0.01969,                0.11575,                   0.15,                 0.0327,                0.01635,                0.04427,                 11.311,                0.00137,                 6.1895,                 25.033,               0.001204,               0.001204,               0.001204
                     14,                0.00486,                0.84174,                0.00099,                0.68285,                 1.6565,                0.14427,                   0.25,                0.05817,                0.01969,                0.11575,                   0.15,                 0.0327,                0.01635,                0.04531,                  10.86,                0.00041,                  5.233,                 22.706,              0.0012912,              0.0012912,              0.0012912
                     15,                 0.0049,                 0.8025,                0.00065,                 0.7299,                 1.6143,                0.14427,                   0.25,                0.05817,                0.01969,                0.11575,                   0.15,                 0.0327,                0.01635,                 0.0435,                 11.202,                 0.0001,                 6.5741,                 7.3347,              0.0013774,              0.0013774,              0.0013774
                     16,                0.00475,                0.82823,                0.00061,                0.67944,                 1.6397,                0.14427,                   0.25,                0.05817,                0.01969,                0.11575,                   0.15,                 0.0327,                0.01635,                0.03935,                 10.808,                0.00013,                  6.782,                 5.8129,              0.0014627,              0.0014627,              0.0014627
                     17,                0.00553,                0.83728,                0.00067,                0.68246,                 1.7524,                0.14427,                   0.25,                0.05817,                0.01969,                0.11575,                   0.15,                 0.0327,                0.01635,                 0.0351,                  9.913,                0.00011,                 6.6842,                 5.1119,              0.0015469,              0.0015469,              0.0015469
                     18,                0.00476,                0.74801,                0.00044,                0.65556,                 1.6266,                0.14427,                   0.25,                0.05817,                0.01969,                0.11575,                   0.15,                 0.0327,                0.01635,                0.03078,                 7.9574,                  7e-05,                 5.8253,                 5.2368,              0.0016302,              0.0016302,              0.0016302
                     19,                 0.0054,                0.94773,                0.00069,                0.69308,                 1.7896,                0.96581,                    0.1,                0.14286,                0.08992,                0.88244,                   0.05,                0.06048,                0.02419,                0.02148,                 6.1574,                  9e-05,                  5.051,                 3.8442,              0.0017125,              0.0017125,              0.0017125
                     20,                0.00497,                0.89968,                0.00062,                0.69185,                 1.5707,                 0.4375,                    0.7,                 0.5956,                0.37916,                0.21875,                   0.35,                0.29696,                0.14562,                0.01177,                 5.0195,                  9e-05,                 3.6304,                 3.0124,              0.0017938,              0.0017938,              0.0017938
                     21,                0.00591,                0.98353,                0.00049,                0.73674,                 1.7711,                0.41667,                   0.75,                0.65069,                0.34109,                      1,                 0.1907,                0.39692,                0.11552,                0.01269,                 4.9467,                  5e-05,                 3.6156,                 3.8609,               0.001802,               0.001802,               0.001802
                     22,                0.00528,                 1.2867,                0.00067,                0.72605,                 1.6775,                      1,                0.99072,                  0.995,                0.62403,                      1,                0.99072,                  0.995,                 0.5665,                0.01014,                 2.3153,                  4e-05,                 1.1933,                  3.603,               0.001802,               0.001802,               0.001802
